foodh,foodr,rent,oper,furn,cloth,tranop,recr
1.1161492547605983e-01,7.0742959881473180e-02,3.0156443839788971e-01,5.2252164388467942e-02,6.5983653564710754e-02,1.4937236846594035e-01,1.3551384297799546e-01,6.5278407193982882e-02
1.1085990438295104e-01,1.1898462335614179e-01,2.4031387529839751e-01,3.9402991251495094e-02,5.8253672914869194e-02,1.2672261638926208e-01,1.8074810159993687e-01,1.0464564211747809e-01
9.6846935778030233e-02,1.3467421639539290e-01,2.0648260809636562e-01,5.9420830888148257e-02,8.2073483300373146e-02,1.6281942172456057e-01,9.3875325209334406e-02,1.3841793133464836e-01
1.2045150292574891e-01,1.1415093639681510e-01,2.5552465712364525e-01,3.7931571814259921e-02,5.2972601355307930e-02,1.1984694646468667e-01,1.8243909101273845e-01,9.6285245384494178e-02
1.0912421535552214e-01,1.1628464373222511e-01,2.5085536202826852e-01,4.3089917586065979e-02,6.0634316261658314e-02,1.2228105091990218e-01,1.6210810124374589e-01,1.1301947126856722e-01
7.7164295705125618e-02,1.2509102526308047e-01,2.1231538846355649e-01,4.6982433165242032e-02,7.8249753428268912e-02,1.4902400582080014e-01,1.5718986081496147e-01,1.3442073426878637e-01
1.1056343042992139e-01,1.1682011416610788e-01,2.4830219760193070e-01,4.2002813649119689e-02,5.9776369273836436e-02,1.2289824477141095e-01,1.6682827225805125e-01,1.1079193338830018e-01
1.4985576975284437e-01,5.7603044380535096e-02,3.2557671073391276e-01,5.0466624013962853e-02,4.8437098448796519e-02,1.2190031553324969e-01,1.5328456554227909e-01,5.0382789301070277e-02
1.5607182358774657e-01,9.4655183770567586e-02,3.0369263338267471e-01,3.4372021463560616e-02,3.8922945886173788e-02,9.6594291622897357e-02,1.7419418782447244e-01,7.8453287711188868e-02
8.3730372468455980e-02,1.1439682226362956e-01,2.6170183433409877e-01,5.1289776911491496e-02,7.2017156087446924e-02,1.3080901349486251e-01,1.3483547529336073e-01,1.2791113936827617e-01
1.0482610202038967e-01,1.1728552221099245e-01,2.4765639592775848e-01,4.4016016270328320e-02,6.2771729319565539e-02,1.2479613369304882e-01,1.5989139955913670e-01,1.1616551695586173e-01
1.1677319348743440e-01,1.1266293236581373e-01,2.6343762941366089e-01,4.2684787541028356e-02,5.7010322104331872e-02,1.1549282559548694e-01,1.5948231633296203e-01,1.0894405730861212e-01
6.3323532607207439e-02,1.2104496478739053e-01,2.1435710222288024e-01,5.2193239788643223e-02,9.1966879472831262e-02,1.6025340406465891e-01,1.3310923197982735e-01,1.4762135503588933e-01
2.3532889093157006e-01,5.3749780631240300e-02,3.5026724416393401e-01,6.1773857459542232e-02,3.6866736647457155e-02,1.0435155918776022e-01,6.1328403978170104e-02,5.8914186405487325e-02
3.0211123928916822e-01,3.3922200760294931e-02,3.1919917717452911e-01,7.3975103508420806e-02,3.4743840073897414e-02,7.9239870394982648e-02,4.6288956012211495e-02,7.7058167669688760e-02
